434.00,0.00,7.00,9.00,2.00,0.00,46.00,1.00,4.00,0.00
1.00,495.00,3.00,11.00,1.00,0.00,1.00,0.00,0.00,0.00
3.00,0.00,340.00,5.00,67.00,0.00,52.00,0.00,1.00,0.00
26.00,1.00,4.00,418.00,24.00,0.00,11.00,0.00,0.00,0.00
6.00,2.00,69.00,24.00,370.00,0.00,38.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,431.00,1.00,44.00,1.00,26.00
88.00,1.00,70.00,13.00,62.00,0.00,289.00,0.00,4.00,0.00
0.00,0.00,0.00,0.00,0.00,2.00,0.00,437.00,1.00,25.00
2.00,0.00,1.00,1.00,6.00,6.00,8.00,1.00,471.00,0.00
1.00,0.00,0.00,1.00,0.00,7.00,0.00,21.00,0.00,503.00
